Song,Artist,Weeks On #1,Weeks On Chart
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,0,20
10 Bands,Drake,0,11
11-Jul,Beyonce,0,20
6 God,Drake,0,0
6 Man,Drake,0,0
A Guy Walks Into A Bar,Tyler Farr,0,17
A Little Too Much,Shawn Mendes,0,0
About The Money,T.I. Featuring Young Thug,0,20
Adore,Cashmere Cat Featuring Ariana Grande,0,0
Ain't Worth The Whiskey,Cole Swindell,0,17
All About It,Hoodie Allen Featuring Ed Sheeran,0,4
All About That Bass,Meghan Trainor,0,42
All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",0,8
All I Want For Christmas Is You,Mariah Carey,0,10
All Your Fault,Big Sean Featuring Kanye West,0,0
Alright,Kendrick Lamar,0,0
American Oxygen,Rihanna,0,2
Anaconda,Nicki Minaj,0,22
Animals,Maroon 5,0,33
Apparently,J. Cole,0,16
Ayo,Chris Brown & Tyga,0,16
B**** Better Have My Money,Rihanna,0,5
Baby Be My Love Song,Easton Corbin,0,3
Baby Blue,Action Bronson Featuring Chance The Rapper,0,0
Bad B*tch,French Montana Featuring Jeremih,0,0
Bad Blood,Taylor Swift Featuring Kendrick Lamar,0,2
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",0,31
Be Real,Kid Ink Featuring DeJ Loaf,0,2
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,0,6
Beg For It,Iggy Azalea Featuring M0,0,16
Believe,Mumford & Sons,0,7
Best Friends,Sophia Grace,0,0
Bills,LunchMoney Lewis,0,6
Black Widow,Iggy Azalea Featuring Rita Ora,0,30
Blame,Calvin Harris Featuring John Newman,0,20
Blank Space,Taylor Swift,7,26
Blessings,Big Sean Featuring Drake,0,12
Body Language,Kid Ink Featuring Usher & Tinashe,0,18
Break The Rules,Charli XCX,0,3
Bright,Echosmith,0,6
Budapest,George Ezra,0,13
Burnin' Up,Jessie J Featuring 2 Chainz,0,6
Can't Stop Dancin',Becky G,0,3
Centuries,Fall Out Boy,0,33
Chains,Nick Jonas,0,13
Chandelier,Sia,0,46
Cheerleader,OMI,0,0
Close Your Eyes,Parmalee,0,16
CoCo,O.T. Genasis,0,20
Commas,Future,0,4
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,0,2
Crash And Burn,Thomas Rhett,0,0
Dangerous,David Guetta Featuring Sam Martin,0,15
Dear Future Husband,Meghan Trainor,0,15
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,0,6
Don't,Ed Sheeran,0,36
Don't It,Billy Currington,0,8
Don't Tell 'Em,Jeremih Featuring YG,0,31
Drinking Class,Lee Brice,0,22
Earned It (Fifty Shades Of Grey),The Weeknd,0,18
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,0,5
Elastic Heart,Sia,0,16
Energy,Drake,0,11
Failure,Breaking Benjamin,0,0
Fairly Local,twenty one pilots,0,0
Feeling Myself,Nicki Minaj Featuring Beyonce,0,18
Fight Song,Rachel Platten,0,2
Fireball,Pitbull Featuring John Ryan,0,20
First Kiss,Kid Rock,0,0
Flex (Ooh Ooh Ooh),Rich Homie Quan,0,0
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,0,14
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,0,24
Games,Luke Bryan,0,0
Geronimo,Sheppard,0,18
Get Low,Dillon Francis & DJ Snake,0,4
Get On Your Knees,Nicki Minaj Featuring Ariana Grande,0,0
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",0,25
Ghost,Ella Henderson,0,20
Girl Crush,Little Big Town,0,10
Girl In A Country Song,Maddie & Tae,0,20
Glory,Common & John Legend,0,3
Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,0,2
